,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
6915,MiawAug,Grafik Jaman Old - Cuphead - Indonesia Part 1,2558305,36810,0,17.917,2017-11-09,12
6916,MiawAug,Butuh Pengorbanan - The Evil Within 2 - Indonesia Part 23 (END),490743,11905,0,25.667,2017-11-08,13
6917,MiawAug,Senyumin Ajah - The Evil Within 2 - Indonesia Part 22,494823,9424,0,24.45,2017-11-07,13
6918,MiawAug,Ditinggal Istri - The Evil Within 2 - Indonesia Part 21,299888,7211,0,35.117,2017-11-06,12
6919,MiawAug,Kenangan Lama - The Evil Within 2 - Indonesia Part 20,260898,6801,0,30.3,2017-11-05,15
6920,MiawAug,Ayam Guling - Animal Super Squad - Indonesia,3924253,36697,0,10.817,2017-11-04,13
6921,MiawAug,Sedih Banget 😢 - The Evil Within 2 - Indonesia Part 19,283435,6984,0,22.75,2017-11-03,12
6922,MiawAug,Masih Ada Harapan - The Evil Within 2 - Indonesia Part 18,305315,7071,0,37.45,2017-11-02,14
6923,MiawAug,Ternyata Si O'Niel - The Evil Within 2 - Indonesia Part 17,317366,7574,0,43.883,2017-11-01,13
6924,MiawAug,Sebastian Mati ? - The Evil Within 2 - Indonesia Part 16,415914,8737,0,33.383,2017-10-31,13
6925,MiawAug,Musuh & Teman Baru - The Evil Within 2 - Indonesia Part 15,307436,7734,0,28.367,2017-10-30,12
6926,MiawAug,Bruce Lee - Heroes Evolved - Indonesia,389627,8647,0,14.45,2017-10-29,10
6927,MiawAug,Tempat baru - The Evil Within 2 - Indonesia Part 14,309907,7992,0,28.6,2017-10-28,13
6928,MiawAug,Lawan Stefano - The Evil Within 2 - Indonesia Part 13,345108,8236,0,29.833,2017-10-27,14
6929,MiawAug,Setan Cewe Serem !!! - The Evil Within 2 - Indonesia Part 12,314110,7636,0,38.267,2017-10-26,14
6930,MiawAug,Respect Art - The Evil Within 2 - Indonesia Part 11,335742,7941,0,40.95,2017-10-25,14
6931,MiawAug,Stefano !!! - The Evil Within 2 - Indonesia Part 10,315220,7804,0,36.8,2017-10-24,14
6932,MiawAug,Boss Pertama - The Evil Within 2 - Indonesia Part 9,364883,8586,0,29.867,2017-10-23,14
6933,MiawAug,Selokan Bau - The Evil Within 2 - Indonesia Part 8,371026,9059,0,33.8,2017-10-22,12
6934,MiawAug,Kids Jaman Now - Indonesia Game,1539508,31149,0,7.267,2017-10-21,11
6935,MiawAug,Lily Diculik - The Evil Within 2 - Indonesia Part 7,372342,9013,0,31.633,2017-10-20,12
6936,MiawAug,Wanita Misterius - The Evil Within 2 - Indonesia Part 6,531789,10456,0,45.8,2017-10-19,14
6937,MiawAug,Akhirnya Dapet Sniper - The Evil Within 2 - Indonesia Part 5,531777,11329,0,27.3,2017-10-18,13
6938,MiawAug,Senjata Gw Mana ? - The Evil Within 2 - Indonesia Part 4,702958,12242,0,35.967,2017-10-17,14
6939,MiawAug,Kota Penuh Monster - The Evil Within 2 - Indonesia Part 3,2698963,32633,0,37.883,2017-10-16,7
6940,MiawAug,"Curi Ilmu Deddy Corbuzier, Ngobrol Bareng MiawAug",701024,35936,0,21.867,2017-10-15,8
6941,MiawAug,Monster Pertama Kita - The Evil Within 2 - Indonesia Part 2,524935,11753,0,31.767,2017-10-14,13
6942,MiawAug,Dia Kembali Lagi - The Evil Within 2 - Indonesia Part 1,752218,18234,0,23.983,2017-10-13,12
6943,MiawAug,Ngegantung Endingnya - Home Sweet Home - Indonesia Part 9 (END),1357657,30662,0,19.25,2017-10-12,14
6944,MiawAug,Dihantui Cewe Sekolahan - Home Sweet Home - Indonesia Part 8,848624,19496,0,26.9,2017-10-11,13
6945,MiawAug,Sekolah yang Terkutuk - Home Sweet Home - Indonesia Part 7,906954,20283,0,27.117,2017-10-10,14
6946,MiawAug,Jane Kemana Sih - Home Sweet Home - Indonesia Part 6,1352526,26882,0,24.35,2017-10-09,12
6947,MiawAug,Gamenya Deddy Corbuzier - Fist Of Rage - Indonesia,2284299,47890,0,10.933,2017-10-08,11
6948,MiawAug,Main Petak Umpet - Home Sweet Home - Indonesia Part 5,1410410,28493,0,32.867,2017-10-07,14
6949,MiawAug,Ending yang Tak Terduga - White Day - Indonesia (END),2290992,43856,0,29.483,2017-10-06,13
6950,MiawAug,Game Simpel Dan Menyenangkan - Magic Cat Academy,327228,8613,0,10.033,2017-10-05,11
6951,MiawAug,Cewe Ini Lagi 👻👻 - Home Sweet Home - Indonesia Part 4,1372396,26465,0,25.917,2017-10-04,13
6952,MiawAug,Dikejar Pake Piso !!! - White Day - Indonesia Part 9,3267962,43213,0,30.0,2017-10-03,13
6953,MiawAug,Ini Hantu Gede Banget - Home Sweet Home - Indonesia Part 3,1305786,27058,0,21.517,2017-10-02,14
6954,MiawAug,Malah Tersesat - White Day - Indonesia Part 8,1034374,20621,0,30.6,2017-10-01,9
6955,MiawAug,MiawAug Nikah Di Game - Swords of Immortals - Indonesia,779726,16916,0,13.717,2017-09-30,12
6956,MiawAug,Copot Jantung Gw - Home Sweet Home - Indonesia Part 2,2209803,41055,0,23.517,2017-09-29,13
6957,MiawAug,Hantu Sekolah - White Day - Indonesia Part 7,1234630,21399,0,24.167,2017-09-28,14
6958,MiawAug,Game Horror Thailand - Home Sweet Home - Indonesia Part 1,8067648,133602,0,23.367,2017-09-27,12
6959,MiawAug,Ketemu lagi ama si Cantik - White Day - Indonesia Part 6,2953265,40362,0,25.15,2017-09-26,13
6960,MiawAug,Terjybak dan Tercyduk - White Day - Indonesia Part 5,1021295,20415,0,30.417,2017-09-24,12
6961,MiawAug,Apa Kata MiLovers untuk MiawAug,151719,11169,0,11.7,2017-09-23,10
6962,MiawAug,Mana Muka Jelek Loe ?? - FaceDance Challenge! - Indonesia,569657,17627,0,9.133,2017-09-22,10
6963,MiawAug,Horror yang bikin Binggung - White Day - Indonesia Part 4,1550975,25575,0,27.4,2017-09-20,15
6964,MiawAug,Cewenya Diculik - White Day - Indonesia Part 3,1134605,22250,0,27.667,2017-09-17,10
6965,MiawAug,Sadako !!! - White Day - Indonesia Part 2,2010135,36248,0,24.933,2017-09-15,10
6966,MiawAug,Game Horror Dari Korea - White Day - Indonesia Part 1,5598728,88088,0,24.733,2017-09-13,8
6967,MiawAug,Asus Zenfone 4 Max Pro Indonesia (Unboxing + Review),136627,5688,0,6.017,2017-09-12,8
6968,MiawAug,Bapak Yang Baik - Guts and Glory - Indonesia,6833364,65399,0,14.133,2017-09-11,11
6969,MiawAug,Hidup atau Mati - The Walking Dead: Michonne - Indonesia (END),217840,6498,0,25.717,2017-09-10,8
6970,MiawAug,Kritik & Saran Dari MiLovers untuk MiawAug,151626,9742,0,15.033,2017-09-09,12
6971,MiawAug,Saatnya Berkabung - The Walking Dead: Michonne - Indonesia Part 7,271478,5850,0,26.633,2017-09-08,11
